scale_pos_weight,AUC,F1_score,Recall,Precision,Avg_Best_Iterations
1.0,0.8510389056425331,0.01587886215595366,0.00813521281590308,0.3400414078674948,104.4
3.11,0.8486339417863075,0.0,0.0,0.0,16.2
5.22,0.8479814029832864,0.0,0.0,0.0,9.2
7.33,0.8463148054053715,0.0,0.0,0.0,7.2
9.44,0.8446718358731793,0.0,0.0,0.0,6.2
11.56,0.8441877848295176,0.0,0.0,0.0,5.8
13.67,0.8423138533010208,0.0,0.0,0.0,5.0
15.78,0.8413696501790436,0.0,0.0,0.0,5.0
17.89,0.8406344384892772,0.0,0.0,0.0,4.8
20.0,0.8386706157841406,0.0,0.0,0.0,4.6
BEST = 1.0,0.8510,,,,104
