Threshold,F1_score,Recall,Precision
0.01,0.21832632071061245,1.0,0.12254001574389924
0.02,0.21832632071061245,1.0,0.12254001574389924
0.03,0.21832632071061245,1.0,0.12254001574389924
0.04,0.21832632071061245,1.0,0.12254001574389924
0.05,0.21832632071061245,1.0,0.12254001574389924
0.060000000000000005,0.21832632071061245,1.0,0.12254001574389924
0.06999999999999999,0.21832632071061245,1.0,0.12254001574389924
0.08,0.21832632071061245,1.0,0.12254001574389924
0.09,0.36695081967213117,0.9985724482512491,0.2247750642673522
0.09999999999999999,0.3688448844884488,0.9971448965024983,0.2262714609653385
0.11,0.36928363732487446,0.9971448965024983,0.22660178426601785
0.12,0.37075371549893843,0.9971448965024983,0.22770986145069275
0.13,0.3747815566608415,0.9950035688793719,0.23087114938721431
0.14,0.38688066992323794,0.9892933618843683,0.24045801526717558
0.15000000000000002,0.3879382889200561,0.987152034261242,0.24140338628032815
0.16,0.39507233920641743,0.9842969307637401,0.2471326164874552
0.17,0.4009351256575102,0.979300499643112,0.2520668748851736
0.18000000000000002,0.4028352037802717,0.9735902926481085,0.25395643269409796
0.19,0.40652596916629247,0.9693076374018558,0.2571969696969697
0.2,0.41036520684952266,0.966452533904354,0.2604848018468642
0.21000000000000002,0.41575627019541467,0.9643112062812277,0.2650058846606512
0.22,0.41603231318937395,0.9557458957887224,0.2658856235107228
0.23,0.41647095663065603,0.9493219129193433,0.26674689129562773
0.24000000000000002,0.4213206046141607,0.9450392576730906,0.2710892710892711
0.25,0.42391832766164317,0.9336188436830836,0.2742138364779874
0.26,0.4290969899665552,0.9157744468236974,0.2801921816990609
0.27,0.4344754503708937,0.8779443254817987,0.28866463271532505
0.28,0.4357789687673258,0.841541755888651,0.2940149625935162
0.29000000000000004,0.4378947368421053,0.8165596002855103,0.29916317991631797
0.3,0.43800512517248175,0.7930049964311207,0.3025599128540305
0.31,0.4406779661016949,0.7701641684511064,0.30863844393592677
0.32,0.4427767354596623,0.7580299785867237,0.3127208480565371
0.33,0.44449551827166167,0.6902212705210564,0.3277966101694915
0.34,0.4259209464909922,0.5653104925053534,0.34167385677308026
0.35000000000000003,0.4063164287883389,0.47751605995717344,0.3535940803382664
0.36000000000000004,0.09380863039399624,0.05353319057815846,0.3787878787878788
0.37,0.0,0.0,0.0
0.38,0.0,0.0,0.0
0.39,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.41000000000000003,0.0,0.0,0.0
0.42000000000000004,0.0,0.0,0.0
0.43,0.0,0.0,0.0
0.44,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.46,0.0,0.0,0.0
0.47000000000000003,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0
0.49,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.51,0.0,0.0,0.0
0.52,0.0,0.0,0.0
0.53,0.0,0.0,0.0
0.54,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.56,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0
0.5800000000000001,0.0,0.0,0.0
0.59,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.61,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.63,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.67,0.0,0.0,0.0
0.68,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.7100000000000001,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
