threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.3,1.6,7,9,0.4,0.65,90,0.1,0.0,0.1,0.8564748900502659,0.45794366512071,0.7911955249333906,0.3222390279982703,491.0
0.3,2.6,5,3,0.4,0.6,90,0.001,0.1,0.1,0.8467991618015338,0.4439255049390323,0.8402203665237842,0.3016841180417313,26.6
0.3,2.6,3,18,0.6,0.75,90,0.01,0.1,0.01,0.8374049642788999,0.4381919672154833,0.8117472026377367,0.30009764649305354,25.2
0.3,1.6,7,12,0.5,0.7,90,0.001,0.01,0.0,0.8564561948086539,0.45820107876539123,0.7921944546515498,0.32232754113259626,428.0
0.3,2.0,2,9,0.5,0.7,75,0.1,0.01,0.1,0.8522744476642796,0.44565162100035793,0.8457874618379462,0.3025417579501688,999.8
0.3,2.0,2,15,0.5,0.7,135,0.001,0.1,0.0,0.8522712784922566,0.44558221847076745,0.8452878696553071,0.30254105821367877,998.8
0.3,2.6,3,9,0.4,0.65,75,0.01,0.01,0.01,0.8350499059501602,0.43790051867530283,0.8130319992116124,0.2996538484207674,25.2
0.36,1.6,4,9,0.4,0.7,75,0.1,0.1,0.0,0.8564070621764224,0.4541632285787137,0.6917159727150705,0.3381034141077631,785.4
0.33,1.6,5,12,0.5,0.65,105,0.001,0.0,0.0,0.8563077865025823,0.457231132963223,0.7486631153579462,0.3291305691240655,597.4
0.36,2.0,4,3,0.4,0.7,90,0.1,0.01,0.01,0.8563731290658703,0.45718865902656125,0.7779931922639225,0.3237173191871627,916.2
0.4,1.6,4,6,0.4,0.7,135,0.01,0.1,0.01,0.8563703934020254,0.4362995037164897,0.5661904001601221,0.3549201433027261,784.4
0.36,1.6,3,15,0.5,0.6,75,0.001,0.0,0.1,0.8560212996873968,0.45468860589596216,0.6953556185212999,0.3378084786113145,987.0
0.33,2.6,5,15,0.4,0.75,120,0.1,0.01,0.1,0.8462622272855478,0.44705810820299563,0.7915521836881714,0.31149845296172846,25.2
0.36,2.6,8,3,0.6,0.6,135,0.01,0.1,0.01,0.8485634267595245,0.447661483512731,0.7607240687109227,0.3171589019254772,26.6
0.3,2.0,5,6,0.5,0.6,105,0.1,0.0,0.1,0.8565059602477195,0.4540506170967453,0.8464297837307484,0.3102473047107603,664.4
0.3,2.6,4,18,0.6,0.65,90,0.01,0.0,0.1,0.8431102970940213,0.44675751710935563,0.7933359867563127,0.31092664759341754,24.8
0.3,2.6,4,12,0.4,0.6,105,0.01,0.0,0.0,0.8449273335209877,0.4441615538718606,0.8380088836193911,0.30216991245048447,26.6
0.33,2.6,2,3,0.6,0.75,75,0.1,0.0,0.0,0.8178581009120055,0.4275658679048678,0.8637701066182022,0.28409756259264063,22.6
0.4,2.6,3,9,0.6,0.75,90,0.1,0.1,0.1,0.8374049642788999,0.43885214025132635,0.7085531638249322,0.31846041556961946,25.2
0.33,2.6,4,12,0.6,0.7,120,0.1,0.01,0.0,0.8431102970940213,0.4461538454210867,0.7860570771145323,0.3114728720414878,24.8
0.33,1.6,2,9,0.4,0.65,135,0.001,0.0,0.0,0.8522674073816026,0.4529096843316318,0.7620085851729678,0.3222248883399291,999.6
0.3,1.6,2,3,0.5,0.6,135,0.001,0.01,0.1,0.8521859800046115,0.4525939193569067,0.7900531524931352,0.31714203477739816,999.8
0.4,1.6,6,6,0.6,0.75,90,0.01,0.01,0.0,0.8562739137168325,0.4358447621807757,0.5690451726163692,0.3531900938797364,548.2
0.3,1.6,7,12,0.5,0.75,120,0.01,0.1,0.0,0.8563802052083268,0.45729206817186896,0.7914094030485843,0.3215555653775762,407.6
0.3,1.6,5,18,0.5,0.6,90,0.001,0.0,0.1,0.8564748656983839,0.4578405061257901,0.7926939195106295,0.32188331886619725,634.8
0.4,1.6,5,6,0.5,0.75,90,0.001,0.01,0.1,0.856493289998032,0.4370806575806375,0.5681894055084754,0.35516542085650354,653.6
0.3,1.6,7,15,0.4,0.6,90,0.001,0.01,0.01,0.8564398119091748,0.45774277802554125,0.7889831507640814,0.32240871178953745,529.0
0.4,1.6,8,12,0.4,0.65,120,0.001,0.01,0.01,0.8563948596485662,0.43570389266002596,0.5661905020189697,0.35411546389383775,495.4
0.4,2.0,5,18,0.6,0.75,90,0.001,0.01,0.0,0.8564462515354926,0.4566100457745777,0.7170494649482061,0.33497286648117397,704.6
0.3,2.6,7,15,0.4,0.7,75,0.001,0.1,0.01,0.8509959398393445,0.4472212287704728,0.8026130614109539,0.30997367672821435,25.4
