threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.33,1.6,8,9,0.4,0.6,120,0.001,0.0,0.1,0.8562961228961307,0.45849748275865576,0.743382268870179,0.33149317570075054,407.0
0.36,2.0,8,3,0.6,0.7,105,0.001,0.01,0.01,0.8564899265601065,0.4584574629588637,0.7751386744547941,0.32549802109329623,663.4
0.33,1.6,8,15,0.4,0.6,105,0.1,0.0,0.01,0.8562762012058475,0.4583954160571371,0.7453088271131956,0.3310150937843225,365.6
0.3,1.6,7,15,0.4,0.6,75,0.001,0.0,0.01,0.8563119388237524,0.4583741982392107,0.7906960091448874,0.32274533156819674,498.8
0.36,2.0,7,9,0.6,0.65,90,0.01,0.1,0.01,0.8563574469298187,0.4583571927351766,0.7747105871831522,0.3254768641906399,530.2
0.3,1.6,4,6,0.5,0.65,120,0.01,0.01,0.0,0.8564169810260596,0.4583430973213833,0.7960477239258539,0.32182899231713774,794.8
0.3,1.6,7,12,0.5,0.7,90,0.001,0.01,0.0,0.8564561948086539,0.45820107876539123,0.7921944546515498,0.32232754113259626,428.0
0.33,1.6,7,3,0.6,0.75,135,0.001,0.0,0.1,0.856587170327295,0.45809476292461815,0.7493767639087621,0.32989194260031285,520.4
0.3,1.6,4,3,0.5,0.7,135,0.01,0.01,0.01,0.8562799911211686,0.4580464661234404,0.7959765755208233,0.3215497871346263,714.0
0.33,1.6,8,18,0.6,0.75,105,0.001,0.0,0.1,0.8563726021392591,0.45802369176384766,0.7447384175667806,0.33072688699884456,415.2
