threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.33,1.4,3,11,0.15,0.45,70,0.0,0.005,1.0,0.8559134753802938,0.4550534042217052,0.6977819726646504,0.3376373565952069,990.8
0.1,2.2,6,3,0.1,0.35,80,0.001,0.005,1.0,0.8565788464144084,0.39873250854296316,0.9808747026676577,0.2502269422661557,731.8
0.1,2.2,4,19,0.3,0.45,120,0.02,0.001,0.1,0.8562741563957786,0.39871477545992073,0.9813740656678899,0.2501802874102649,916.2
0.15,2.0,5,11,0.15,0.45,100,0.0,0.0,0.7,0.8561663794309883,0.4124727711702535,0.9673158640316801,0.2621237127835096,749.2
0.1,1.8,5,21,0.2,0.35,120,0.02,0.0,0.7,0.8566161356966029,0.4037334485583123,0.9776633987801894,0.25439486183504634,856.0
0.1,2.2,5,21,0.2,0.65,80,0.0,0.0,0.3,0.8518344986955556,0.3899417342566583,0.9862270286017099,0.2430710383496272,409.0
0.2,1.4,4,5,0.3,0.55,120,0.005,0.0,0.5,0.8563219623301489,0.44552028893399476,0.8857497180419776,0.2976152480977275,762.2
0.2,1.6,8,11,0.42,0.35,70,0.02,0.005,0.3,0.8566382622401829,0.4388846831397119,0.9107262714085017,0.2891090114338547,537.2
0.15,2.0,6,11,0.42,0.65,80,0.005,0.0,0.3,0.8563024289890299,0.4126495353571287,0.966959103418052,0.2622919461391537,604.6
0.1,1.8,6,11,0.1,0.45,100,0.001,0.005,0.7,0.8564217710999611,0.4043856165895356,0.9778773787542306,0.2548979796959986,685.4
0.25,2.0,4,11,0.15,0.45,130,0.02,0.001,1.0,0.8563308597049868,0.4423029305938635,0.8989516687407676,0.2933204326440645,842.8
0.25,2.2,6,13,0.15,0.45,130,0.01,0.0,0.1,0.8563231773997266,0.4391331332914423,0.9144372948021685,0.28895305235544066,708.6
0.1,1.6,8,7,0.42,0.6,60,0.01,0.001,1.0,0.856369523070206,0.4064229483558009,0.9746661767256098,0.2567425208224773,442.8
0.25,2.2,5,19,0.1,0.35,130,0.005,0.005,0.5,0.856530864106905,0.4378931026118672,0.9155790306246265,0.2877685337153942,777.4
0.1,1.8,6,7,0.3,0.35,90,0.02,0.0,1.0,0.8565938603793679,0.4037808167719407,0.9775919957280399,0.25443732882103404,721.2
0.1,1.8,8,19,0.4,0.45,70,0.005,0.0,1.0,0.856233993989802,0.40423563888616415,0.9775206690700262,0.25480401259507623,474.2
0.3,1.4,7,13,0.3,0.35,60,0.005,0.001,0.3,0.8565013481657168,0.45781400163170083,0.7443097955361888,0.3305905274092693,527.2
0.1,1.6,7,5,0.1,0.6,60,0.02,0.0,0.3,0.8563653243093146,0.4063901123301993,0.9751656925141132,0.25668064268128404,473.8
0.33,2.0,7,7,0.2,0.65,110,0.001,0.005,0.3,0.8563396304810622,0.4564414356153598,0.8112481706787593,0.3175695083748667,577.8
0.33,1.8,6,13,0.3,0.65,120,0.0,0.0,0.3,0.8563715191813358,0.4575302661219888,0.7825605684538565,0.3232823657000946,692.2
0.1,1.8,3,21,0.4,0.45,80,0.0,0.0,0.1,0.8558689019928444,0.4028691625927312,0.9783767926838864,0.2536606635941522,998.0
0.15,1.4,3,13,0.1,0.65,80,0.005,0.005,0.7,0.8559851573840402,0.4255596605043088,0.943695153785215,0.27472733117792536,950.2
0.15,2.2,4,21,0.4,0.6,80,0.01,0.001,0.3,0.8503607167741205,0.4025365004210273,0.9735243390443042,0.25375517566954986,363.6
0.1,1.4,8,15,0.2,0.6,110,0.01,0.005,0.1,0.8563641046595037,0.40930724597559925,0.9712407655405407,0.25929073879446757,428.4
0.33,1.4,3,15,0.42,0.55,60,0.001,0.0,0.3,0.8559529220227132,0.45409068304786915,0.6935712806942089,0.3375625443723064,917.8
0.3,2.0,4,15,0.15,0.55,120,0.001,0.0,0.7,0.8562773323919591,0.45332602707101116,0.8471434068168525,0.3094750224073077,829.2
0.3,1.4,3,19,0.1,0.35,80,0.001,0.001,0.7,0.8558609168582061,0.45714159422908035,0.7526593689895322,0.32827492669888186,997.6
0.25,1.6,6,3,0.15,0.6,50,0.01,0.001,0.7,0.856416329486103,0.4523487076548327,0.8534231575580666,0.3077418098634666,617.8
0.2,2.0,8,19,0.42,0.6,70,0.001,0.001,0.3,0.8562731289813297,0.42843069211138946,0.9367728265040796,0.277725946117794,558.8
0.1,2.2,8,19,0.1,0.55,50,0.0,0.005,0.7,0.8542559461527202,0.3903150654340983,0.9862271813899811,0.243363661822421,351.6
0.3,2.2,4,3,0.4,0.35,70,0.0,0.005,0.1,0.8564322998100045,0.45009559040226393,0.8694796006012728,0.30365359225360267,903.0
