threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.3,1.4,7,11,0.2,0.35,130,0.005,0.005,1.0,0.8567171170017923,0.4588416910104251,0.7443102539010029,0.33166367974596755,549.6
0.3,1.4,7,5,0.15,0.55,80,0.0,0.001,0.1,0.8564558883887832,0.4583805876349151,0.7482350790157278,0.3304091931946104,472.2
0.3,1.4,6,5,0.2,0.35,110,0.001,0.005,0.3,0.8566316754834812,0.4582869425218914,0.744738086525526,0.3309946271930019,657.4
0.33,1.6,6,5,0.4,0.45,50,0.02,0.0,0.7,0.8564461761242909,0.4582002524812744,0.7473790317960032,0.33038756702870226,683.6
0.33,1.6,5,7,0.1,0.35,70,0.005,0.005,1.0,0.8564995350322675,0.4581915430488575,0.7452375259198936,0.3307980501639832,712.8
0.33,1.6,8,17,0.1,0.35,90,0.01,0.001,0.7,0.8565127787787175,0.4581431116624891,0.7408132104813772,0.33163253894889444,473.0
0.33,1.8,7,15,0.42,0.55,60,0.001,0.001,0.1,0.8563900928723127,0.45811314139008036,0.7837738346520234,0.3236526460354014,526.6
0.3,1.6,6,9,0.2,0.6,120,0.0,0.001,0.5,0.8565908129975849,0.45808683813600537,0.7901963151034008,0.32254363220150556,572.2
0.33,1.6,6,11,0.42,0.35,110,0.01,0.0,0.5,0.8565811556418168,0.4580667138012256,0.7413127008051686,0.33145062175387957,713.4
0.3,1.4,7,19,0.15,0.55,100,0.001,0.0,0.1,0.8564041799145127,0.4580634261512624,0.7456657659798069,0.3305847092965803,505.8
