threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.25,1.0,9,11,0.15,0.25,70,0.0005,0.004,0.5,0.8560656569987565,0.4562936857258271,0.7118401233714362,0.33578635145473934,495.2
0.35,1.2,4,3,0.15,0.25,80,0.0005,0.004,0.75,0.8556641694285556,0.41583484907469614,0.4831257068049095,0.36507024606160066,906.4
0.35,1.2,5,17,0.25,0.3,50,0.001,0.003,1.0,0.856662325655229,0.42000041759614454,0.49133283065992045,0.366837217833529,809.8
0.3,1.0,5,13,0.15,0.2,110,0.0005,0.002,1.0,0.8551315365321976,0.427219336173537,0.5329360328983705,0.35657367017803854,802.8
0.35,1.2,4,17,0.25,0.2,110,0.0005,0.004,1.0,0.8546701183556771,0.41413186009515834,0.4825545587818497,0.36276803217769,855.6
0.35,1.2,8,9,0.25,0.2,50,0.001,0.002,0.5,0.8553295122626462,0.4134032353278455,0.47827325316532737,0.36412236489337674,596.2
0.28,1.0,7,11,0.2,0.3,70,0.0015,0.002,0.75,0.8566315403760318,0.4447105244211914,0.6165717214883717,0.3477982286218596,611.2
0.3,1.4,9,5,0.25,0.25,130,0.001,0.001,1.25,0.856244303266173,0.4569768910532129,0.7448808162356892,0.3296096957393708,552.6
0.32,1.2,9,19,0.15,0.3,50,0.001,0.0,1.0,0.8565697522239841,0.4439903007413747,0.610934470892943,0.34871861877980814,420.0
0.32,1.2,4,9,0.25,0.3,80,0.002,0.003,2.0,0.8564084691865913,0.44410070029535353,0.6151447808927062,0.34751172315793244,887.8
0.32,1.0,6,7,0.15,0.4,130,0.0015,0.004,1.25,0.8563141458179896,0.402255317818682,0.4364547213231057,0.3730829011694493,587.2
0.35,1.2,6,9,0.15,0.4,120,0.0005,0.0,0.5,0.8562862657922932,0.4197576347601755,0.4925450528048998,0.3657450035435706,546.6
0.28,1.4,5,15,0.25,0.2,110,0.002,0.004,1.25,0.8551049732851513,0.45570543942587555,0.7831309270708476,0.32136170565117694,829.0
0.35,1.2,8,3,0.25,0.2,130,0.0015,0.002,0.5,0.8552369309086305,0.4152204086030272,0.48469558082843334,0.36323929427207147,780.0
0.3,1.2,5,17,0.15,0.3,130,0.001,0.004,0.5,0.8564784253619218,0.45354795408956167,0.6773726426997891,0.34092474809487827,704.4
0.3,1.4,8,21,0.15,0.25,100,0.001,0.004,1.5,0.8559710617948522,0.4567864029273334,0.7470217109587132,0.32899561586402964,504.8
0.25,1.4,6,17,0.15,0.2,100,0.0015,0.001,0.5,0.8552154726013619,0.4545893862493756,0.8290887732960733,0.31315564742816077,652.6
0.28,1.4,4,5,0.25,0.35,60,0.001,0.001,2.0,0.8563467904474888,0.4568711255702075,0.7794202856478593,0.3231559781830543,860.0
0.32,1.4,5,11,0.25,0.4,110,0.001,0.004,2.0,0.8561941554412247,0.45602937352671236,0.7124822160818314,0.335350431495972,666.8
0.28,1.4,6,15,0.25,0.3,120,0.002,0.0,0.75,0.8566095991752671,0.4568230416681825,0.7753526289641236,0.3238130609500399,608.8
0.28,1.0,6,3,0.25,0.4,80,0.001,0.0,0.5,0.8564385886034419,0.4442445396695633,0.6201401679601467,0.34612143381246063,634.4
0.25,1.0,4,3,0.2,0.2,130,0.001,0.002,2.0,0.8547836182976486,0.4541870814362624,0.7139097932952942,0.33305800829986304,945.0
0.32,1.0,8,7,0.25,0.4,140,0.002,0.001,1.25,0.856308057934872,0.4014841380203067,0.4340281889267719,0.373567466102169,452.8
0.32,1.0,4,5,0.25,0.35,100,0.002,0.003,1.25,0.8564079948668102,0.4027988976213949,0.4375955404159355,0.37314384215096635,875.4
0.25,1.4,9,5,0.15,0.35,100,0.0005,0.001,0.75,0.8566718045110864,0.4570070888268595,0.8208819550176051,0.31665700448981304,515.6
0.28,1.4,7,7,0.2,0.25,90,0.002,0.001,0.5,0.8557337513761262,0.45644904510952006,0.7798487548901796,0.3226583156855664,516.8
0.32,1.4,4,3,0.25,0.4,50,0.0005,0.001,0.75,0.8563156968489718,0.4563667529754206,0.7158361987500392,0.3349775227984009,837.4
0.32,1.2,7,9,0.2,0.2,70,0.002,0.0,1.25,0.8552018238755619,0.4422302086000557,0.6071515860823127,0.3477989911947007,627.2
