threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.28,1.2,8,11,0.2,0.35,120,0.002,0.0,2.0,0.8566292998503439,0.45859764586465107,0.7248990387835201,0.3354181321056394,453.8
0.3,1.4,7,9,0.2,0.35,60,0.0015,0.001,1.0,0.8566138303088071,0.4585251003240674,0.7433108403533178,0.33153079175843825,588.0
0.28,1.2,4,11,0.25,0.4,130,0.001,0.0,0.5,0.8562271672071702,0.45852262627504514,0.7339622862523915,0.3334348870209391,800.8
0.28,1.2,5,13,0.2,0.3,90,0.002,0.002,1.25,0.8565640794040906,0.45840615815238284,0.7257555189033469,0.3350240509433534,778.8
0.3,1.4,8,19,0.15,0.3,110,0.001,0.003,1.0,0.8565612651915961,0.4583207877117569,0.7428111208471193,0.3314141941953961,509.0
0.3,1.4,8,19,0.2,0.35,70,0.001,0.0,0.75,0.856723452490518,0.4583200590841803,0.74302522814472,0.3313725293490875,561.6
0.28,1.2,9,21,0.2,0.3,110,0.002,0.003,1.25,0.8566557119476089,0.45825907857236314,0.7234718435407357,0.33535062259973036,398.2
0.28,1.2,7,19,0.15,0.3,90,0.001,0.0,1.25,0.8565308089347841,0.45823986764743285,0.7237578886494357,0.33528007041026714,510.6
0.3,1.4,6,15,0.25,0.3,120,0.0015,0.001,1.25,0.8566522229322487,0.45821693148704823,0.7444527798934708,0.33098388643307,648.2
0.3,1.4,5,19,0.2,0.35,140,0.001,0.004,1.25,0.8565405919366267,0.45820232379654113,0.7460942606868394,0.33064336759673135,750.6
