threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.15,1.0,9,13,0.2,0.32,60,0.0005,0.004,0.5,0.8565428929509734,0.4444449893144039,0.8921725295346095,0.2959415072666281,397.2
0.35,1.6,4,5,0.15,0.32,75,0.004,0.004,0.5,0.8563377254718638,0.4555694224468335,0.7089143807631417,0.33565007527556545,791.6
0.35,1.2,9,21,0.3,0.32,135,0.004,0.002,0.5,0.856572398786492,0.41928092655139465,0.488193082612873,0.3675354623715875,367.0
0.2,1.6,6,13,0.2,0.32,105,0.0005,0.0,2.0,0.8565990198472226,0.4388258020800603,0.9111544860037031,0.28901540721062013,636.8
0.15,1.4,6,13,0.15,0.36,150,0.0005,0.003,0.5,0.8566368630886962,0.42683246868472596,0.941768493683351,0.2759546389056696,588.8
0.35,1.4,9,15,0.35,0.32,45,0.0005,0.001,1.5,0.8566403896687815,0.44613707991344215,0.6244221356591784,0.3470836816054585,494.6
0.15,1.2,4,17,0.25,0.36,105,0.001,0.002,1.5,0.8563214813068948,0.43503047151005997,0.9218585267187216,0.2846919385708474,823.0
0.2,1.4,9,7,0.35,0.32,150,0.001,0.001,2.0,0.8566871118509554,0.44618827481947837,0.8897461244618352,0.29775850393612685,440.0
0.3,1.4,9,21,0.2,0.34,30,0.001,0.0,1.5,0.8565587647969641,0.45873362250597954,0.7455942865335219,0.3312870579884728,404.0
0.3,1.4,4,11,0.35,0.34,75,0.003,0.003,2.0,0.8564141032524766,0.45748247501711486,0.747235843721026,0.3296693419608362,905.2
0.2,1.4,5,11,0.35,0.38,90,0.004,0.003,2.5,0.8562629408513331,0.44558279118347477,0.8856071665847975,0.2976851409281804,674.8
0.3,1.4,5,9,0.35,0.36,45,0.0005,0.0,1.0,0.8565737854713393,0.45843598547074665,0.7475210994236572,0.330607293684234,735.8
0.2,1.6,8,7,0.3,0.36,165,0.003,0.004,1.5,0.8567423376776315,0.4391184069345173,0.9124391297893075,0.28914336959854203,511.2
0.35,1.0,9,7,0.35,0.34,105,0.0005,0.002,2.0,0.8565466162127862,0.34083071065481213,0.30172136359457835,0.3917326770852078,430.6
0.2,1.6,4,13,0.35,0.32,150,0.0005,0.002,2.5,0.8563910079866061,0.4394682326337843,0.9132237739568826,0.28936481185193363,860.0
0.35,1.2,5,15,0.2,0.38,150,0.0005,0.004,1.5,0.8562878187491634,0.41965145950129645,0.49333020626671287,0.3651671785790975,696.2
0.3,1.0,4,15,0.25,0.32,30,0.001,0.004,0.5,0.8562919456108536,0.431938540845992,0.5432837204351513,0.3585006449841364,766.6
0.15,1.6,4,21,0.2,0.32,135,0.004,0.001,1.5,0.8565230624261835,0.42006918354038403,0.9558981238364218,0.2691822279018755,883.2
0.35,1.8,7,11,0.35,0.32,90,0.003,0.002,2.0,0.8566286552412073,0.4584006134541056,0.7512322246761716,0.32984820485667987,610.4
0.35,1.6,4,11,0.2,0.3,105,0.0005,0.004,2.5,0.8563714111172583,0.4563145105527375,0.7077726194759718,0.3367200823990128,857.8
0.2,1.8,5,5,0.15,0.3,75,0.0005,0.0,1.5,0.8566082254142182,0.43296198563012095,0.9289235327805964,0.28226445025861535,794.0
0.15,1.8,5,13,0.3,0.32,150,0.001,0.004,2.5,0.8565991494995945,0.415189306642987,0.9636051716792678,0.26460224024179824,667.2
0.3,1.2,7,17,0.2,0.3,45,0.003,0.002,2.0,0.8565920596805334,0.4529008939226573,0.6751603703893274,0.3407542258224522,511.6
