threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.35,1.8,6,7,0.2,0.34,75,0.002,0.001,1.5,0.856784832602913,0.4590989931802315,0.7532304151537444,0.33018708679472014,813.4
0.3,1.4,9,21,0.2,0.34,30,0.001,0.0,1.5,0.8565587647969641,0.45873362250597954,0.7455942865335219,0.3312870579884728,404.0
0.3,1.4,7,15,0.25,0.3,60,0.002,0.003,2.0,0.8566659939797345,0.4585559590198186,0.7443816314884405,0.3313490401814359,581.2
0.3,1.4,9,15,0.2,0.34,60,0.0005,0.004,0.5,0.8565379010647349,0.4585528030698646,0.7443098719303245,0.33135999501872715,435.6
0.35,1.8,6,17,0.15,0.34,120,0.003,0.0,2.5,0.8565949097436473,0.4585339506627243,0.7535872521615085,0.3295334037151038,602.8
0.3,1.4,5,9,0.35,0.36,45,0.0005,0.0,1.0,0.8565737854713393,0.45843598547074665,0.7475210994236572,0.330607293684234,735.8
0.3,1.4,6,21,0.35,0.36,135,0.002,0.001,1.0,0.8566168710073727,0.4584173072308501,0.7449524739349576,0.33109243148199646,619.4
0.35,1.8,7,11,0.35,0.32,90,0.003,0.002,2.0,0.8566286552412073,0.4584006134541056,0.7512322246761716,0.32984820485667987,610.4
0.3,1.4,5,21,0.15,0.34,120,0.0005,0.002,2.5,0.8565160961590012,0.458289228616914,0.7475925534052305,0.3304422418977818,697.2
0.3,1.4,9,5,0.3,0.34,150,0.001,0.0,2.0,0.8566378587849843,0.4581448855014452,0.7419548444449877,0.33139916076058906,465.6
