threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.15,1.0,9,13,0.2,0.3,60,0.008,0.0,3.5,0.8566375223220524,0.445225960800857,0.8899600280417408,0.2968789691159381,471.8
0.35,1.0,8,17,0.15,0.25,45,0.001,0.001,2.5,0.8560690370011059,0.3365863626771004,0.29508314610403913,0.3920189516767615,575.4
0.35,1.0,8,11,0.35,0.4,75,0.003,0.004,1.5,0.8562287651027466,0.33827113771020423,0.2980097545125379,0.39120617647641287,480.4
0.15,1.2,9,17,0.25,0.35,60,0.001,0.002,0.5,0.8565033320822206,0.4342531105338998,0.9230719711698718,0.28390973019427795,373.6
0.15,1.6,4,15,0.25,0.45,90,0.0005,0.003,2.5,0.8563556382248473,0.4204405999888777,0.9547562097609805,0.269578400208096,871.4
0.15,1.6,4,21,0.25,0.45,105,0.004,0.001,3.5,0.8563895020826304,0.4203595712229456,0.9546136837685125,0.2695234565264661,895.0
0.15,1.0,9,11,0.25,0.25,75,0.0005,0.003,1.5,0.8561514143605302,0.44442085474640514,0.8913161003442065,0.2960139786867112,532.0
0.3,1.4,5,15,0.25,0.3,90,0.008,0.0,2.5,0.8564637760621887,0.45777946650590645,0.7474502056657457,0.32993992381478365,707.0
0.2,1.8,9,11,0.2,0.4,120,0.002,0.004,1.0,0.8562029525260144,0.4322955478140968,0.9264970767783982,0.2819242887348657,462.8
0.25,1.0,5,5,0.25,0.4,90,0.0005,0.001,2.5,0.8563780588175547,0.4560817921244015,0.716050484300623,0.3346219252465172,748.0
0.25,1.2,9,19,0.3,0.4,60,0.002,0.001,1.0,0.8562744918365024,0.456847163765576,0.7794202601831473,0.3231324482834207,433.8
0.35,1.8,6,17,0.35,0.4,105,0.001,0.001,2.5,0.8564239176270908,0.45791764214641617,0.7556567947618069,0.328505365748582,679.6
0.3,1.0,4,7,0.2,0.3,120,0.004,0.0,2.0,0.8563738059837254,0.4306666093325088,0.5405006056781725,0.3579495757572865,854.4
0.3,1.8,7,21,0.25,0.45,30,0.008,0.0,3.5,0.8562845504060489,0.4562701506995667,0.8218098891190051,0.31581450656796034,639.2
0.35,1.4,9,15,0.15,0.35,120,0.001,0.003,0.5,0.8566974708406218,0.44743746337261625,0.6274904042599407,0.34772231500439205,426.4
