threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.3,1.4,9,15,0.2,0.35,60,0.0005,0.004,3.5,0.8567407230914592,0.458698230890462,0.7433819632936363,0.3316952257121559,501.4
0.3,1.4,6,19,0.2,0.3,120,0.004,0.004,1.5,0.8566049833279455,0.45847375715113314,0.7448810454180961,0.3311642773616156,612.2
0.35,1.8,6,21,0.3,0.4,165,0.008,0.001,1.5,0.8564000422386989,0.4583587548029436,0.7567984032607054,0.3287413035499774,678.8
0.35,1.8,9,15,0.3,0.35,90,0.004,0.004,0.5,0.8566292455300355,0.45834484074393683,0.7502330148461818,0.3299862905542986,487.8
0.3,1.4,4,19,0.25,0.3,135,0.001,0.002,5.0,0.8564760622778852,0.45833956623486405,0.7498048766451159,0.33005818669568043,846.6
0.35,1.8,5,19,0.15,0.45,30,0.004,0.003,5.0,0.8562530285946254,0.45829952688383974,0.7583683027489412,0.32838622828666253,783.2
0.35,1.8,6,19,0.35,0.45,120,0.0005,0.0,5.0,0.8563392257516472,0.4582829329090271,0.756727229390963,0.3286753690249203,637.4
0.3,1.4,6,5,0.25,0.35,90,0.002,0.003,5.0,0.8564818776060236,0.4582636463533383,0.7450951781804088,0.33090360721800044,550.0
0.3,1.4,6,19,0.25,0.3,45,0.001,0.001,5.0,0.8566327229402851,0.4582304531629419,0.7441673459378564,0.33105386798571895,628.2
0.35,1.8,6,7,0.3,0.35,120,0.008,0.0,1.5,0.8566880720691451,0.4582195573478113,0.7515889343603761,0.3295894064805085,709.4
