threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.15,1.0,9,13,0.2,0.4,60,0.001,0.004,1.0,0.8563085443483465,0.4451383528786229,0.8901739570863583,0.29677813987301216,459.6
0.35,1.6,4,5,0.1,0.4,75,0.0005,0.004,2.0,0.8562840279012768,0.4564112350419606,0.7151226265933589,0.33518090334242645,805.4
0.35,1.6,5,19,0.25,0.25,60,0.01,0.002,2.5,0.8559236812980735,0.45595078274938816,0.711197801478634,0.335557882654007,828.4
0.2,1.2,6,7,0.1,0.55,45,0.008,0.002,2.5,0.8566264735201508,0.45196682647164377,0.8529948920334413,0.3074444475146005,561.8
0.15,1.6,8,7,0.35,0.3,150,0.004,0.004,3.5,0.8566582410344964,0.4212321820796042,0.9535430963510851,0.270328398337744,567.8
0.35,1.2,9,7,0.05,0.4,90,0.001,0.001,1.0,0.8561875145770067,0.41695953335029834,0.4864795876142697,0.3648892886188013,408.0
0.3,1.4,7,15,0.15,0.5,105,0.003,0.002,1.0,0.856475881172537,0.45892548676468914,0.7470931394755747,0.33120659769687616,500.8
0.35,1.2,8,11,0.15,0.6,120,0.004,0.004,2.0,0.8564960673823896,0.421180474478827,0.49732686733368936,0.36531016766736635,443.6
0.25,1.0,5,5,0.3,0.55,90,0.001,0.001,3.5,0.8565374074555707,0.4567434625414376,0.7169783929373112,0.3351323900053794,630.6
0.2,1.6,7,19,0.15,0.45,60,0.003,0.004,2.5,0.8562185610274454,0.4379405762420519,0.9093705046825786,0.2884342906867398,574.2
0.35,1.6,8,17,0.3,0.4,60,0.015,0.0,0.5,0.8562134621002381,0.4560334791960914,0.7105552504034247,0.3357943306083262,517.6
0.15,1.2,9,9,0.35,0.3,120,0.01,0.004,6.0,0.856612074540785,0.4349759023960904,0.9203600812120591,0.28478675922687324,458.8
0.35,1.4,8,5,0.1,0.45,105,0.001,0.002,5.0,0.8561885152948874,0.44494835755753454,0.6254212181656088,0.345333681579228,483.2
0.2,1.6,4,13,0.45,0.35,150,0.001,0.002,2.0,0.856364605061145,0.43919234477393615,0.9132949732913369,0.28911728848711904,883.4
0.2,1.4,5,21,0.45,0.25,165,0.008,0.003,0.5,0.8559620313049798,0.4445704986015609,0.8888897716655679,0.2964178778350318,666.4
0.15,1.4,6,11,0.05,0.4,165,0.001,0.0,6.0,0.8563844923072725,0.4274461122275097,0.9391281595659591,0.2766942771575687,655.0
0.15,1.8,5,9,0.4,0.35,90,0.01,0.001,2.0,0.8566098306198358,0.41598304547183923,0.9624635122509456,0.26533109823758383,853.4
0.25,1.6,9,15,0.4,0.6,45,0.003,0.001,1.0,0.8562412907848465,0.4518843078151896,0.8537086933725286,0.30727421996291665,387.4
0.25,1.0,8,21,0.2,0.4,30,0.001,0.0,2.0,0.8561690602893357,0.4560870179955794,0.7140521664994908,0.3350748194310375,436.6
0.15,1.0,6,7,0.45,0.4,90,0.015,0.001,1.5,0.8563254233241226,0.445081819152354,0.8897458698147162,0.2967752076675577,597.6
0.35,1.8,7,11,0.4,0.55,75,0.001,0.0,5.0,0.856388698352796,0.4581454405140549,0.7530161805325843,0.3292548281099268,516.6
