threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.3,1.4,8,21,0.4,0.35,30,0.002,0.004,6.0,0.8565226895918467,0.4589593566913198,0.7438815809409873,0.3318691104591886,444.0
0.3,1.4,7,15,0.15,0.5,105,0.003,0.002,1.0,0.856475881172537,0.45892548676468914,0.7470931394755747,0.33120659769687616,500.8
0.35,1.8,6,15,0.25,0.55,45,0.008,0.003,6.0,0.8565562968435463,0.45882130121333964,0.7555852389213861,0.3294524913162983,616.8
0.35,1.8,6,19,0.35,0.6,75,0.008,0.003,6.0,0.8565895650554582,0.4587678153786901,0.7548001873184207,0.32954615458198405,658.0
0.35,1.8,7,13,0.25,0.5,120,0.002,0.0,2.0,0.8565815073327283,0.4587361916845132,0.752730670182834,0.3299126344962676,577.0
0.35,1.8,5,9,0.3,0.6,45,0.003,0.004,6.0,0.8565082414169197,0.45873384541216555,0.7587251397567051,0.3287707229201651,661.0
0.3,1.4,7,5,0.3,0.5,60,0.001,0.004,2.0,0.8564742112411194,0.4587191146892618,0.7473785225017655,0.33093802439968906,531.8
0.3,1.4,7,21,0.4,0.5,165,0.008,0.003,2.5,0.8566441397205271,0.4587107266280368,0.745880076995103,0.3312165128856918,491.2
0.3,1.4,8,11,0.05,0.5,75,0.01,0.004,5.0,0.8564751103409142,0.4586556566540512,0.7451664793737107,0.33130301704825393,436.4
0.3,1.4,9,9,0.3,0.3,105,0.003,0.003,6.0,0.8567604897319457,0.4586452494596678,0.7429539014867063,0.3317221687737685,515.4
